text,sentiment
ok done 😡,neutral
koi reply karega? 😂,neutral
bht gussa aa raha 😂,negative
love you guys ❤️ 😭,positive
fir dekhte hain bhai,neutral
class kab start hogi? bhai,neutral
thanks yaar! 😂,positive
bht gussa aa raha 😭,negative
haan theek hai bro,neutral
bhot irritating ho yaar 🤦,negative
chillana band kar 😡,negative
mujhe notes bhejna 😂,neutral
koi reply karega? bro,neutral
chillana band kar yaar,negative
mujhe notes bhejna 😡,neutral
ok done bhai,neutral
aaj mood bht accha hai 😊 bhai,positive
superb explanation bhai! 😡,positive
love you guys ❤️,positive
bhot irritating ho yaar 😂,negative
hmm sahi,neutral
bht gussa aa raha yaar,negative
bhai tu hadd karta hai yaar,negative
faltu baatein mt kar,negative
hmm sahi bhai,neutral
mazaq mat udao 😭,negative
amazing experience!,positive
mazaq mat udao bhai,negative
mazaq mat udao,negative
mujhe notes bhejna,neutral
haan theek hai 🤦,neutral
bahut bekaar scene tha 😡,negative
mast bro proud of you! 😂,positive
ye kya bakwaas hai 😡,negative
amazing experience!,positive
fir dekhte hain 🤦,neutral
fir dekhte hain bro,neutral
tu kidhar hai? 😂,neutral
superb explanation bhai! 😭,positive
superb explanation bhai! 😂,positive
bhot badhiya! 🤦,positive
bht gussa aa raha 😭,negative
kal milte hain bhai? 🤦,neutral
faltu baatein mt kar 🤦,negative
haan theek hai 😭,neutral
acha theek 😡,neutral
fir dekhte hain 😡,neutral
acha theek 😂,neutral
mast bro proud of you! 😡,positive
kal milte hain bhai? 😡,neutral
bhai tu hadd karta hai 😡,negative
tu sabse best hai yaar,positive
fir dekhte hain 😭,neutral
chillana band kar 😭,negative
ok done yaar,neutral
love you guys ❤️ 🤦,positive
hmm sahi 😭,neutral
bhai tu hadd karta hai 😭,negative
bhai tu hadd karta hai yaar,negative
kal milte hain bhai? 🤦,neutral
mujhe notes bhejna 🤦,neutral
superb explanation bhai! bhai,positive
ye kya bakwaas hai 😡,negative
fir dekhte hain yaar,neutral
ye bilkul pasand nhi aaya 🤦,negative
faltu baatein mt kar yaar,negative
superb explanation bhai! 😡,positive
bahut bekaar scene tha bro,negative
mujhe notes bhejna 😡,neutral
bahut bekaar scene tha,negative
bht gussa aa raha 😡,negative
ok done bhai,neutral
ye bilkul pasand nhi aaya bhai,negative
